"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.419728409E0,-2.645999908E1,-5.579999924E0,-3.857999802E1,4.711352457E1
1.427724014E0,-2.676000023E1,-5.519999981E0,-3.905999756E1,4.766813843E1
1.435658584E0,-2.645999908E1,-5.339999676E0,-3.857999802E1,4.708570266E1
1.443623672E0,-2.597999954E1,-5.159999847E0,-3.834000015E1,4.659980243E1
1.451619278E0,-2.585999870E1,-5.279999733E0,-3.845999908E1,4.664535839E1
1.459553848E0,-2.561999893E1,-5.879999638E0,-3.809999847E1,4.628788853E1
1.467549454E0,-2.550000000E1,-5.940000057E0,-3.815999985E1,4.627871205E1
1.475453506E0,-2.519999886E1,-5.940000057E0,-3.821999741E1,4.616374925E1
1.483449112E0,-2.561999893E1,-6.059999943E0,-3.821999741E1,4.640987122E1
1.491414200E0,-2.609999847E1,-5.400000095E0,-3.852000046E1,4.684186543E1
1.499318252E0,-2.700000000E1,-5.579999924E0,-3.857999802E1,4.741890600E1
1.507252823E0,-2.723999977E1,-6.059999943E0,-3.852000046E1,4.756607638E1
1.515187393E0,-2.723999977E1,-6.059999943E0,-3.804000092E1,4.717820319E1
1.523213516E0,-2.718000031E1,-6.359999657E0,-3.797999954E1,4.713472581E1
1.531178604E0,-2.681999969E1,-6.299999714E0,-3.804000092E1,4.696854319E1
1.539113174E0,-2.687999916E1,-5.759999752E0,-3.755999756E1,4.654530447E1
1.547047745E0,-2.651999855E1,-5.699999809E0,-3.827999878E1,4.691650698E1
1.555043350E0,-2.615999985E1,-5.400000095E0,-3.839999771E1,4.677676151E1
1.563008438E0,-2.561999893E1,-5.519999981E0,-3.804000092E1,4.619411667E1
1.571004043E0,-2.609999847E1,-5.639999866E0,-3.839999771E1,4.677156554E1
1.578908096E0,-2.639999962E1,-6.059999943E0,-3.804000092E1,4.669823604E1
1.586903702E0,-2.645999908E1,-6.119999886E0,-3.768000031E1,4.644747973E1
1.594838272E0,-2.669999886E1,-6.000000000E0,-3.815999985E1,4.695823173E1
1.602803360E0,-2.561999893E1,-6.239999771E0,-3.815999985E1,4.638434575E1
1.610798965E0,-2.585999870E1,-6.000000000E0,-3.834000015E1,4.663362676E1
1.618733536E0,-2.597999954E1,-6.059999943E0,-3.857999802E1,4.690522596E1
1.626729141E0,-2.585999870E1,-5.759999752E0,-3.821999741E1,4.650468075E1
1.634633194E0,-2.676000023E1,-5.639999866E0,-3.839999771E1,4.714304864E1
1.642628799E0,-2.597999954E1,-5.579999924E0,-3.870000076E1,4.694450803E1
1.650593887E0,-2.573999977E1,-6.119999886E0,-3.845999908E1,4.668161861E1
1.658497940E0,-2.645999908E1,-6.299999714E0,-3.863999939E1,4.725326550E1
1.666432510E0,-2.597999954E1,-6.359999657E0,-3.857999802E1,4.694492751E1
1.674367081E0,-2.603999901E1,-5.940000057E0,-3.821999741E1,4.662760288E1
1.682362686E0,-2.621999931E1,-5.639999866E0,-3.821999741E1,4.669117866E1
1.690327774E0,-2.513999939E1,-5.759999752E0,-3.839999771E1,4.625750740E1
1.698262344E0,-2.513999939E1,-5.639999866E0,-3.852000046E1,4.634241689E1
1.706227432E0,-2.561999893E1,-6.179999828E0,-3.827999878E1,4.647510140E1
1.714131485E0,-2.555999947E1,-6.059999943E0,-3.857999802E1,4.667390512E1
1.722096573E0,-2.592000008E1,-5.519999981E0,-3.857999802E1,4.680526734E1
1.730092178E0,-2.609999847E1,-5.639999866E0,-3.839999771E1,4.677156554E1
1.737965713E0,-2.627999878E1,-5.339999676E0,-3.881999969E1,4.718205494E1
1.745961319E0,-2.645999908E1,-5.219999790E0,-3.875999832E1,4.721988373E1
1.753865372E0,-2.645999908E1,-5.819999695E0,-3.863999939E1,4.719166771E1
1.761830459E0,-2.634000015E1,-5.759999752E0,-3.857999802E1,4.706792381E1
1.769826065E0,-2.609999847E1,-6.000000000E0,-3.821999741E1,4.666881316E1
1.777730118E0,-2.609999847E1,-6.179999828E0,-3.786000061E1,4.639808147E1
1.785725723E0,-2.639999962E1,-6.299999714E0,-3.768000031E1,4.643740302E1
1.793629776E0,-2.676000023E1,-6.480000019E0,-3.768000031E1,4.666765942E1
1.801625381E0,-2.718000031E1,-6.239999771E0,-3.791999817E1,4.707033328E1
1.809590469E0,-2.729999924E1,-6.119999886E0,-3.827999878E1,4.741416100E1
1.817494522E0,-2.700000000E1,-5.819999695E0,-3.834000015E1,4.725280953E1
1.825429092E0,-2.676000023E1,-5.519999981E0,-3.845999908E1,4.717774413E1
1.833363663E0,-2.592000008E1,-5.699999809E0,-3.839999771E1,4.667864850E1
1.841359268E0,-2.597999954E1,-5.759999752E0,-3.834000015E1,4.667005019E1
1.849324356E0,-2.592000008E1,-5.819999695E0,-3.852000046E1,4.679219204E1
1.857228409E0,-2.579999924E1,-6.059999943E0,-3.839999771E1,4.665751155E1
1.865162979E0,-2.592000008E1,-6.000000000E0,-3.852000046E1,4.681492112E1
1.873158584E0,-2.579999924E1,-6.179999828E0,-3.821999741E1,4.652526798E1
1.881123672E0,-2.621999931E1,-6.539999962E0,-3.791999817E1,4.656378662E1
1.889119278E0,-2.645999908E1,-6.420000076E0,-3.773999786E1,4.653660270E1
1.897053848E0,-2.634000015E1,-6.179999828E0,-3.768000031E1,4.638717957E1
1.905049454E0,-2.627999878E1,-6.059999943E0,-3.809999847E1,4.667945821E1
1.912984024E0,-2.609999847E1,-6.119999886E0,-3.804000092E1,4.653714633E1
1.920949112E0,-2.621999931E1,-6.659999847E0,-3.815999985E1,4.677637812E1
1.928944717E0,-2.676000023E1,-6.659999847E0,-3.815999985E1,4.708119368E1
1.936848770E0,-2.700000000E1,-6.779999733E0,-3.779999924E1,4.694473707E1
1.944844375E0,-2.681999969E1,-6.359999657E0,-3.791999817E1,4.687950768E1
1.952748428E0,-2.657999992E1,-5.819999695E0,-3.791999817E1,4.667220858E1
1.960744034E0,-2.603999901E1,-6.000000000E0,-3.755999756E1,4.609593220E1
1.968709122E0,-2.592000008E1,-5.699999809E0,-3.755999756E1,4.599010566E1
1.976613174E0,-2.615999985E1,-6.059999943E0,-3.779999924E1,4.636711263E1
1.984547745E0,-2.621999931E1,-5.940000057E0,-3.755999756E1,4.619010047E1
1.992482315E0,-2.663999939E1,-6.119999886E0,-3.768000031E1,4.655025660E1
2.000508438E0,-2.627999878E1,-6.179999828E0,-3.797999954E1,4.659732931E1
2.008504043E0,-2.627999878E1,-6.000000000E0,-3.779999924E1,4.642712869E1
2.016438614E0,-2.603999901E1,-6.359999657E0,-3.827999878E1,4.673210300E1
2.024403702E0,-2.592000008E1,-6.059999943E0,-3.839999771E1,4.672397487E1
2.032307754E0,-2.603999901E1,-6.359999657E0,-3.815999985E1,4.663385822E1
2.040272842E0,-2.561999893E1,-5.940000057E0,-3.804000092E1,4.624618488E1
2.048268448E0,-2.585999870E1,-5.699999809E0,-3.786000061E1,4.620183088E1
2.056172500E0,-2.609999847E1,-5.579999924E0,-3.804000092E1,4.646921550E1
2.064168106E0,-2.609999847E1,-5.219999790E0,-3.821999741E1,4.657495593E1
2.072102676E0,-2.645999908E1,-5.339999676E0,-3.852000046E1,4.703655582E1
2.080037247E0,-2.634000015E1,-5.579999924E0,-3.863999939E1,4.709545159E1
2.088063370E0,-2.579999924E1,-5.460000038E0,-3.863999939E1,4.678141847E1
2.095967422E0,-2.603999901E1,-5.639999866E0,-3.881999969E1,4.708379257E1
2.103932510E0,-2.651999855E1,-5.639999866E0,-3.905999756E1,4.754790564E1
2.111836563E0,-2.627999878E1,-5.639999866E0,-3.893999863E1,4.731565732E1
2.119801651E0,-2.693999863E1,-5.759999752E0,-3.863999939E1,4.745514383E1
2.127797256E0,-2.645999908E1,-5.759999752E0,-3.834000015E1,4.693894716E1
2.135701309E0,-2.579999924E1,-5.759999752E0,-3.773999786E1,4.607738053E1
2.143696915E0,-2.609999847E1,-5.759999752E0,-3.768000031E1,4.619707719E1
2.151631485E0,-2.585999870E1,-6.000000000E0,-3.779999924E1,4.619068602E1
2.159657608E0,-2.639999962E1,-6.179999828E0,-3.797999954E1,4.666511270E1
2.167592178E0,-2.651999855E1,-6.359999657E0,-3.821999741E1,4.695240271E1
2.175496231E0,-2.639999962E1,-6.059999943E0,-3.809999847E1,4.674712251E1
2.183461319E0,-2.669999886E1,-5.940000057E0,-3.809999847E1,4.690184883E1
2.191456924E0,-2.615999985E1,-5.759999752E0,-3.768000031E1,4.623100272E1
2.199391495E0,-2.634000015E1,-5.639999866E0,-3.773999786E1,4.636715050E1
2.207387100E0,-2.615999985E1,-5.879999638E0,-3.797999954E1,4.649086311E1
2.215321670E0,-2.555999947E1,-5.940000057E0,-3.779999924E1,4.601561817E1
2.223286758E0,-2.555999947E1,-5.819999695E0,-3.791999817E1,4.609893958E1
2.231221329E0,-2.555999947E1,-6.179999828E0,-3.804000092E1,4.624443361E1
2.239155899E0,-2.585999870E1,-6.119999886E0,-3.834000015E1,4.664921803E1
2.247182022E0,-2.609999847E1,-5.759999752E0,-3.809999847E1,4.654027719E1
2.255086075E0,-2.627999878E1,-6.179999828E0,-3.809999847E1,4.669518838E1
2.263051163E0,-2.615999985E1,-5.940000057E0,-3.773999786E1,4.630266333E1
2.270955215E0,-2.592000008E1,-6.299999714E0,-3.743999863E1,4.597053293E1
2.278920303E0,-2.573999977E1,-6.719999790E0,-3.713999939E1,4.568463133E1
2.286915909E0,-2.585999870E1,-6.480000019E0,-3.713999939E1,4.571771525E1
2.294819961E0,-2.573999977E1,-6.659999847E0,-3.707999802E1,4.562706915E1
2.302815567E0,-2.592000008E1,-6.420000076E0,-3.750000000E1,4.603599467E1
2.310780655E0,-2.609999847E1,-6.000000000E0,-3.827999878E1,4.671796471E1
2.318806778E0,-2.615999985E1,-5.940000057E0,-3.881999969E1,4.718709113E1
2.326771866E0,-2.687999916E1,-5.759999752E0,-3.954000092E1,4.815728008E1
2.334736954E0,-2.676000023E1,-5.400000095E0,-3.905999756E1,4.765439143E1
2.342702042E0,-2.676000023E1,-5.699999809E0,-3.923999786E1,4.783685862E1
2.350606094E0,-2.669999886E1,-5.400000095E0,-3.887999725E1,4.747319377E1
2.358571182E0,-2.621999931E1,-5.699999809E0,-3.845999908E1,4.689509453E1
2.366566788E0,-2.568000031E1,-5.460000038E0,-3.881999969E1,4.686434031E1
2.374470840E0,-2.573999977E1,-5.400000095E0,-3.839999771E1,4.654317795E1
2.382466446E0,-2.579999924E1,-6.179999828E0,-3.887999725E1,4.706895521E1
2.390401016E0,-2.592000008E1,-6.000000000E0,-3.821999741E1,4.656838633E1
2.398335586E0,-2.615999985E1,-6.299999714E0,-3.809999847E1,4.664381494E1
2.406331192E0,-2.645999908E1,-6.480000019E0,-3.797999954E1,4.673972954E1
2.414235245E0,-2.645999908E1,-5.940000057E0,-3.755999756E1,4.632675867E1
2.422200333E0,-2.639999962E1,-6.000000000E0,-3.815999985E1,4.678830589E1
2.430104385E0,-2.651999855E1,-6.000000000E0,-3.809999847E1,4.680726660E1
