"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.460722083E0,2.118000031E1,1.505999947E1,-4.055999756E1,4.817166593E1
1.468717688E0,2.087999916E1,1.475999928E1,-4.115999985E1,4.845593391E1
1.476652258E0,2.105999947E1,1.529999924E1,-4.152000046E1,4.900534657E1
1.484586829E0,2.111999893E1,1.529999924E1,-4.121999741E1,4.877737711E1
1.492551917E0,2.142000008E1,1.529999924E1,-4.109999847E1,4.880692835E1
1.500455969E0,2.160000038E1,1.529999924E1,-4.079999924E1,4.863424648E1
1.508390540E0,2.165999985E1,1.511999989E1,-4.050000000E1,4.835307632E1
1.516355628E0,2.189999962E1,1.517999935E1,-4.104000092E1,4.893183053E1
1.524351233E0,2.195999908E1,1.493999958E1,-4.115999985E1,4.898561763E1
1.532346839E0,2.195999908E1,1.517999935E1,-4.104000092E1,4.895871337E1
1.540250891E0,2.250000000E1,1.553999996E1,-4.097999954E1,4.926562657E1
1.548185462E0,2.184000015E1,1.577999973E1,-4.061999893E1,4.874400795E1
1.556089514E0,2.219999886E1,1.607999992E1,-4.020000076E1,4.865641179E1
1.564054602E0,2.195999908E1,1.589999962E1,-4.031999969E1,4.858759022E1
1.572080725E0,2.129999924E1,1.577999973E1,-4.025999832E1,4.820337980E1
1.579984778E0,2.142000008E1,1.565999985E1,-4.037999725E1,4.831765906E1
1.587919348E0,2.081999969E1,1.553999996E1,-4.055999756E1,4.816718165E1
1.595853919E0,2.087999916E1,1.577999973E1,-4.091999817E1,4.857395399E1
1.603819007E0,2.105999947E1,1.577999973E1,-4.121999741E1,4.890419364E1
1.611845130E0,2.093999863E1,1.553999996E1,-4.073999786E1,4.837067880E1
1.619718665E0,2.093999863E1,1.559999943E1,-4.115999985E1,4.874411874E1
1.627714270E0,2.105999947E1,1.529999924E1,-4.091999817E1,4.849803918E1
1.635648840E0,2.100000000E1,1.493999958E1,-4.086000061E1,4.830883188E1
1.643613928E0,2.160000038E1,1.542000008E1,-4.157999802E1,4.932780812E1
1.651579016E0,2.165999985E1,1.529999924E1,-4.134000015E1,4.911457200E1
1.659483069E0,2.153999901E1,1.565999985E1,-4.139999771E1,4.922567382E1
1.667478674E0,2.160000038E1,1.571999931E1,-4.145999908E1,4.932149551E1
1.675413245E0,2.123999977E1,1.511999989E1,-4.134000015E1,4.887481559E1
1.683347815E0,2.177999878E1,1.505999947E1,-4.145999908E1,4.919454700E1
1.691312903E0,2.195999908E1,1.517999935E1,-4.115999985E1,4.905934699E1
1.699216956E0,2.231999969E1,1.535999966E1,-4.115999985E1,4.927735345E1
1.707151526E0,2.237999916E1,1.596000004E1,-4.091999817E1,4.929535692E1
1.715116614E0,2.202000046E1,1.613999939E1,-4.134000015E1,4.954165533E1
1.723051184E0,2.142000008E1,1.596000004E1,-4.175999832E1,4.957252731E1
1.731016272E0,2.123999977E1,1.602000046E1,-4.139999771E1,4.921115540E1
1.738950842E0,2.105999947E1,1.559999943E1,-4.127999878E1,4.889705368E1
1.746885413E0,2.105999947E1,1.583999920E1,-4.079999924E1,4.857024902E1
1.754881018E0,2.129999924E1,1.583999920E1,-4.043999863E1,4.837343311E1
1.762846106E0,2.087999916E1,1.577999973E1,-4.043999863E1,4.817028384E1
1.770811194E0,2.118000031E1,1.583999920E1,-4.073999786E1,4.857206413E1
1.778715247E0,2.111999893E1,1.553999996E1,-4.068000031E1,4.839843364E1
1.786649817E0,2.153999901E1,1.547999954E1,-4.091999817E1,4.876523550E1
1.794584387E0,2.177999878E1,1.529999924E1,-4.109999847E1,4.896599022E1
1.802518958E0,2.184000015E1,1.559999943E1,-4.109999847E1,4.908722302E1
1.810484046E0,2.171999931E1,1.535999966E1,-4.097999954E1,4.885742853E1
1.818357581E0,2.171999931E1,1.559999943E1,-4.073999786E1,4.873259462E1
1.826353186E0,2.184000015E1,1.542000008E1,-4.050000000E1,4.852846597E1
1.834287757E0,2.147999954E1,1.529999924E1,-4.079999924E1,4.858106930E1
1.842222327E0,2.171999931E1,1.571999931E1,-4.097999954E1,4.897179914E1
1.850217932E0,2.153999901E1,1.589999962E1,-4.073999786E1,4.874965611E1
1.858183020E0,2.142000008E1,1.589999962E1,-4.109999847E1,4.899832921E1
1.866178626E0,2.153999901E1,1.589999962E1,-4.050000000E1,4.854926925E1
1.874082678E0,2.177999878E1,1.583999920E1,-4.055999756E1,4.868662366E1
1.882047766E0,2.123999977E1,1.523999977E1,-4.086000061E1,4.850705962E1
1.890073889E0,2.076000023E1,1.517999935E1,-4.061999893E1,4.807696229E1
1.897977942E0,2.081999969E1,1.493999958E1,-4.073999786E1,4.812923644E1
1.905943030E0,2.057999992E1,1.488000011E1,-4.104000092E1,4.826212257E1
1.913908118E0,2.129999924E1,1.505999947E1,-4.097999954E1,4.857832762E1
1.921903723E0,2.147999954E1,1.505999947E1,-4.109999847E1,4.875862835E1
1.929868811E0,2.147999954E1,1.529999924E1,-4.115999985E1,4.888380043E1
1.937772864E0,2.129999924E1,1.505999947E1,-4.097999954E1,4.857832762E1
1.945737952E0,2.093999863E1,1.542000008E1,-4.073999786E1,4.833226015E1
1.953672522E0,2.093999863E1,1.547999954E1,-4.097999954E1,4.855382880E1
1.961607092E0,2.052000046E1,1.547999954E1,-4.079999924E1,4.822178701E1
1.969602698E0,2.021999931E1,1.535999966E1,-4.050000000E1,4.780196609E1
1.977537268E0,2.015999985E1,1.500000000E1,-4.097999954E1,4.807063507E1
1.985471839E0,2.027999878E1,1.500000000E1,-4.115999985E1,4.827446466E1
1.993406409E0,2.069999886E1,1.505999947E1,-4.127999878E1,4.857295375E1
2.001371497E0,2.123999977E1,1.523999977E1,-4.134000015E1,4.891207209E1
2.009397620E0,2.135999870E1,1.565999985E1,-4.097999954E1,4.879390845E1
2.017301673E0,2.160000038E1,1.571999931E1,-4.086000061E1,4.881821427E1
2.025236243E0,2.171999931E1,1.553999996E1,-4.086000061E1,4.881382610E1
2.033140296E0,2.153999901E1,1.559999943E1,-4.091999817E1,4.880346084E1
2.041135901E0,2.135999870E1,1.553999996E1,-4.163999939E1,4.931156753E1
2.049100989E0,2.153999901E1,1.523999977E1,-4.139999771E1,4.909367536E1
2.057035559E0,2.093999863E1,1.500000000E1,-4.152000046E1,4.886096582E1
2.065031165E0,2.087999916E1,1.493999958E1,-4.121999741E1,4.856198244E1
2.072965735E0,2.100000000E1,1.451999950E1,-4.068000031E1,4.802804192E1
2.080900305E0,2.052000046E1,1.469999981E1,-4.055999756E1,4.777314952E1
2.088895911E0,2.063999939E1,1.475999928E1,-4.055999756E1,4.784329164E1
2.096799964E0,2.087999916E1,1.469999981E1,-4.091999817E1,4.823391555E1
2.104765051E0,2.052000046E1,1.493999958E1,-4.109999847E1,4.830614744E1
2.112730139E0,2.111999893E1,1.488000011E1,-4.139999771E1,4.879988288E1
2.120725745E0,2.111999893E1,1.505999947E1,-4.127999878E1,4.875342283E1
2.128690833E0,2.160000038E1,1.523999977E1,-4.109999847E1,4.886744810E1
2.136594885E0,2.189999962E1,1.517999935E1,-4.091999817E1,4.883122581E1
2.144559973E0,2.184000015E1,1.529999924E1,-4.115999985E1,4.904305426E1
2.152555579E0,2.184000015E1,1.529999924E1,-4.079999924E1,4.874131226E1
2.160490149E0,2.111999893E1,1.517999935E1,-4.073999786E1,4.833460625E1
2.168455237E0,2.105999947E1,1.488000011E1,-4.050000000E1,4.801237321E1
2.176359290E0,2.063999939E1,1.505999947E1,-4.002000046E1,4.748066549E1
2.184324378E0,2.111999893E1,1.535999966E1,-4.007999802E1,4.783712142E1
2.192289465E0,2.171999931E1,1.559999943E1,-4.002000046E1,4.813230505E1
2.200224036E0,2.184000015E1,1.583999920E1,-4.025999832E1,4.846399330E1
2.208250159E0,2.171999931E1,1.571999931E1,-4.043999863E1,4.852082272E1
2.216154212E0,2.123999977E1,1.529999924E1,-4.079999924E1,4.847543197E1
2.224088782E0,2.105999947E1,1.505999947E1,-4.091999817E1,4.842286042E1
2.232023352E0,2.118000031E1,1.517999935E1,-4.091999817E1,4.851258644E1
2.239957923E0,2.123999977E1,1.493999958E1,-4.104000092E1,4.856565508E1
2.247984046E0,2.153999901E1,1.523999977E1,-4.134000015E1,4.904309088E1
2.255888098E0,2.135999870E1,1.565999985E1,-4.145999908E1,4.919773027E1
2.263853186E0,2.100000000E1,1.547999954E1,-4.152000046E1,4.903611754E1
2.271787757E0,2.118000031E1,1.577999973E1,-4.104000092E1,4.880453339E1
2.279722327E0,2.118000031E1,1.583999920E1,-4.068000031E1,4.852175195E1
2.287748450E0,2.123999977E1,1.559999943E1,-4.121999741E1,4.892428598E1
2.295652503E0,2.105999947E1,1.577999973E1,-4.127999878E1,4.895477779E1
2.303587073E0,2.142000008E1,1.583999920E1,-4.152000046E1,4.933186005E1
2.311521643E0,2.177999878E1,1.589999962E1,-4.109999847E1,4.915677175E1
2.319486731E0,2.177999878E1,1.565999985E1,-4.050000000E1,4.857832791E1
2.327512854E0,2.226000023E1,1.529999924E1,-4.043999863E1,4.863117391E1
2.335416907E0,2.160000038E1,1.505999947E1,-4.055999756E1,4.835780188E1
2.343351477E0,2.118000031E1,1.488000011E1,-4.086000061E1,4.836885843E1
2.351255530E0,2.105999947E1,1.463999939E1,-4.079999924E1,4.819225142E1
2.359251135E0,2.129999924E1,1.500000000E1,-4.109999847E1,4.866107112E1
2.367216223E0,2.123999977E1,1.469999981E1,-4.091999817E1,4.839084454E1
2.375150794E0,2.123999977E1,1.475999928E1,-4.097999954E1,4.845983421E1
